ortho	freqfilms2	freqlivres	nblettres
abstient	0.17	0.34	8
abstinence	1.6	1.42	10
abstinences	0.02	0.2	11
abstinent	0.1	0	9
abstinente	0.01	0	10
abstinrent	0.01	0.07	10
abstins	0	0.41	7
abstint	0.2	0.81	7
abstraction	0.66	2.09	11
abstractions	0.03	0.88	12
abstraire	0.02	0.74	9
abstrais	0	0.07	8
abstrait	0.1	1.42	8
abstrait	0.61	3.85	8
abstrait	0.49	0.95	8
abstraite	0.01	0.2	9
abstraite	0.69	4.8	9
abstraitement	0	0.34	13
abstraites	0.11	0.2	10
abstraites	0.07	1.55	10
abstraits	0.03	0.54	9
abstraits	0.25	1.15	9
abstraits	0	0.41	9
abstrus	0	0.34	7
abstruse	0	0.14	8
abstruses	0	0.14	9
abstînt	0	0.27	7
absurde	21.56	24.8	7
absurde	2.67	4.73	7
absurdement	0.14	3.72	11
absurdes	2.03	6.15	8
absurdes	0.02	0.2	8
absurdistes	0	0.07	11
absurdité	1.44	5.54	9
absurdités	0.9	0.74	10
abus	4.75	8.58	4
abusa	0.02	0.2	5
abusai	0	0.07	6
abusaient	0.04	0.27	9
abusais	0.03	0.27	7
abusait	0.53	1.82	7
abusant	0.24	0.81	7
abuse	4.08	1.62	5
abusent	1.02	0.88	7
abuser	5.87	4.12	6
abusera	0.04	0	7
abuserai	0.03	0.07	8
abuserais	0.09	0.14	9
abuserait	0.02	0.07	9
abuserez	0.01	0.07	8
abuseriez	0.02	0	9
abuses	0.5	0.07	6
abuseur	0.04	0	7
abusez	1.93	0.34	6
abusiez	0.02	0	7
abusif	0.37	0.61	6
abusifs	0.05	0.14	7
abusive	0.39	0.74	7
abusivement	0.16	1.15	11
abusives	0.03	0.34	8
abusons	0.37	0	7
abusèrent	0	0.07	9
abusé	4.59	2.7	5
abusé	0.1	0.41	5
abusée	0.29	0.27	6
abusée	0.03	0.2	6
abusées	0.03	0.07	7
abusées	0.03	0	7
abusés	0.22	0.34	6
abusés	0.04	0.14	6
abyme	0.04	0.07	5
abyssal	0.03	0.34	7
abyssale	0.05	0.2	8
abyssales	0.02	0.2	9
abysse	0.53	0.07	6
abysses	0.54	0.34	7
abyssin	0	0.14	7
abyssin	0.14	0.14	7
abyssinien	0.1	0	10
abyssinienne	0.01	0	12
abyssins	0	0.07	8
abâtardi	0	0.2	8
abâtardie	0.01	0.07	9
abâtardies	0	0.07	10
abâtardir	0	0.07	9
abâtardirai	0	0.07	11
abâtardissant	0.14	0	13
abécédaire	0.18	0.07	10
abêti	0	0.14	5
abêti	0	0.47	5
abêties	0	0.07	7
abêtir	0.01	0.54	6
abêtis	0	0.07	6
abêtis	0	0.07	6
abêtissait	0	0.14	10
abêtissement	0	0.54	12
abêtit	0	0.07	6
abîma	0.1	0.74	5
abîmai	0	0.14	6
abîmaient	0.1	0.2	9
abîmait	0.01	1.22	7
abîmant	0.01	0.54	7
abîme	5.03	14.59	5
abîme	2.21	2.16	5
abîment	0.31	0.88	7
abîmer	5.4	5.95	6
abîmera	0.04	0.14	7
abîmerai	0.01	0	8
abîmerais	0.02	0.07	9
abîmerait	0.08	0.2	9
abîmeras	0	0.14	8
abîmerez	0.01	0	8
abîmeront	0.02	0.14	9
abîmes	0.98	6.01	6
abîmes	0.72	0.2	6
abîmez	0.3	0.2	6
abîmions	0	0.14	8
abîmons	0	0.07	7
abîmé	3.57	4.73	5
abîmée	1.73	1.76	6
abîmées	0.56	0.74	7
abîmés	0.61	1.35	6
acabit	0.17	1.55	6
acabits	0	0.07	7
acacia	0.05	3.24	6
acacias	0.21	3.11	7
acadien	0.01	0	7
acadien	0.14	0	7
acadienne	0.03	0	9
acadiens	0.01	0.07	8
académicien	0.14	0.74	11
académiciens	0.21	0.81	12
académie	9.91	8.31	8
académies	0.12	1.15	9
académique	0.87	0.61	10
académiquement	0.01	0.14	14
académiques	0.54	0.54	11
académisme	0	0.27	10
académisé	0	0.07	9
acagnardai	0	0.07	10
acagnardait	0	0.14	11
acagnarder	0	0.14	10
acagnardé	0	0.34	9
acagnardée	0	0.07	10
acajou	0.17	1.62	6
acajou	0.52	5.81	6
acajous	0	0.14	7
acanthe	0.04	0.27	7
acanthes	0	0.34	8
acariens	0.07	0.07	8
acariâtre	0.13	1.22	9
acariâtres	0.01	0.34	10
accabla	0.14	0.95	7
accablai	0	0.07	8
accablaient	0.03	1.42	11
